team,season,game_date,points,is_home,goals_for,goals_against,cum_points,games_played,elimination_date,clinch_date,trade_deadline
ANA,20212022,2022-03-26,0,FALSE,1,4,65,67,2022-03-26,NA,2022-03-21
ANA,20212022,2022-03-29,0,TRUE,2,3,65,68,2022-03-26,NA,2022-03-21
ANA,20212022,2022-03-31,1,TRUE,2,3,66,69,2022-03-26,NA,2022-03-21
ANA,20212022,2022-04-01,2,FALSE,5,0,68,70,2022-03-26,NA,2022-03-21
ANA,20212022,2022-04-03,0,TRUE,1,6,68,71,2022-03-26,NA,2022-03-21
ANA,20212022,2022-04-06,0,TRUE,2,4,68,72,2022-03-26,NA,2022-03-21
ANA,20212022,2022-04-09,2,FALSE,5,3,70,73,2022-03-26,NA,2022-03-21
ANA,20212022,2022-04-10,0,FALSE,2,5,70,74,2022-03-26,NA,2022-03-21
ANA,20212022,2022-04-12,1,FALSE,2,3,71,75,2022-03-26,NA,2022-03-21
ANA,20212022,2022-04-14,1,FALSE,3,4,72,76,2022-03-26,NA,2022-03-21
ANA,20212022,2022-04-17,2,TRUE,6,4,74,77,2022-03-26,NA,2022-03-21
ANA,20212022,2022-04-19,0,TRUE,1,2,74,78,2022-03-26,NA,2022-03-21
ANA,20212022,2022-04-23,0,FALSE,2,4,74,79,2022-03-26,NA,2022-03-21
ANA,20212022,2022-04-24,0,TRUE,3,6,74,80,2022-03-26,NA,2022-03-21
ANA,20212022,2022-04-26,2,FALSE,5,2,76,81,2022-03-26,NA,2022-03-21
ANA,20212022,2022-04-29,0,FALSE,2,4,76,82,2022-03-26,NA,2022-03-21
ANA,20222023,2022-10-12,2,TRUE,5,4,2,1,2023-02-17,NA,2023-03-03
ANA,20222023,2022-10-15,0,FALSE,1,7,2,2,2023-02-17,NA,2023-03-03
ANA,20222023,2022-10-17,0,FALSE,4,6,2,3,2023-02-17,NA,2023-03-03
ANA,20222023,2022-10-18,0,FALSE,2,4,2,4,2023-02-17,NA,2023-03-03
ANA,20222023,2022-10-20,1,FALSE,1,2,3,5,2023-02-17,NA,2023-03-03
ANA,20222023,2022-10-23,0,FALSE,1,5,3,6,2023-02-17,NA,2023-03-03
ANA,20222023,2022-10-26,0,TRUE,2,4,3,7,2023-02-17,NA,2023-03-03
ANA,20222023,2022-10-28,0,FALSE,0,4,3,8,2023-02-17,NA,2023-03-03
ANA,20222023,2022-10-30,2,TRUE,4,3,5,9,2023-02-17,NA,2023-03-03
ANA,20222023,2022-11-01,2,FALSE,6,5,7,10,2023-02-17,NA,2023-03-03
ANA,20222023,2022-11-03,0,FALSE,5,8,7,11,2023-02-17,NA,2023-03-03
ANA,20222023,2022-11-05,2,FALSE,5,4,9,12,2023-02-17,NA,2023-03-03
ANA,20222023,2022-11-06,0,TRUE,3,5,9,13,2023-02-17,NA,2023-03-03
ANA,20222023,2022-11-09,0,TRUE,1,4,9,14,2023-02-17,NA,2023-03-03
ANA,20222023,2022-11-12,0,TRUE,2,3,9,15,2023-02-17,NA,2023-03-03
ANA,20222023,2022-11-15,2,TRUE,3,2,11,16,2023-02-17,NA,2023-03-03
ANA,20222023,2022-11-17,0,FALSE,2,3,11,17,2023-02-17,NA,2023-03-03
ANA,20222023,2022-11-19,0,FALSE,2,6,11,18,2023-02-17,NA,2023-03-03
ANA,20222023,2022-11-21,0,FALSE,1,3,11,19,2023-02-17,NA,2023-03-03
ANA,20222023,2022-11-23,2,TRUE,3,2,13,20,2023-02-17,NA,2023-03-03
ANA,20222023,2022-11-25,0,TRUE,1,5,13,21,2023-02-17,NA,2023-03-03
ANA,20222023,2022-11-27,0,TRUE,4,5,13,22,2023-02-17,NA,2023-03-03
ANA,20222023,2022-11-29,1,FALSE,1,2,14,23,2023-02-17,NA,2023-03-03
ANA,20222023,2022-12-01,0,FALSE,0,5,14,24,2023-02-17,NA,2023-03-03
ANA,20222023,2022-12-03,1,FALSE,4,5,15,25,2023-02-17,NA,2023-03-03
ANA,20222023,2022-12-04,0,FALSE,2,5,15,26,2023-02-17,NA,2023-03-03
ANA,20222023,2022-12-06,2,TRUE,4,3,17,27,2023-02-17,NA,2023-03-03
ANA,20222023,2022-12-09,0,TRUE,1,6,17,28,2023-02-17,NA,2023-03-03
ANA,20222023,2022-12-12,0,FALSE,0,3,17,29,2023-02-17,NA,2023-03-03
ANA,20222023,2022-12-13,0,FALSE,0,7,17,30,2023-02-17,NA,2023-03-03
ANA,20222023,2022-12-15,2,FALSE,5,2,19,31,2023-02-17,NA,2023-03-03
ANA,20222023,2022-12-17,2,FALSE,4,3,21,32,2023-02-17,NA,2023-03-03
ANA,20222023,2022-12-20,0,FALSE,1,4,21,33,2023-02-17,NA,2023-03-03
ANA,20222023,2022-12-21,0,TRUE,1,4,21,34,2023-02-17,NA,2023-03-03
ANA,20222023,2022-12-23,1,TRUE,2,3,22,35,2023-02-17,NA,2023-03-03
ANA,20222023,2022-12-28,2,TRUE,3,2,24,36,2023-02-17,NA,2023-03-03
ANA,20222023,2022-12-30,0,TRUE,1,6,24,37,2023-02-17,NA,2023-03-03
ANA,20222023,2023-01-02,0,TRUE,1,4,24,38,2023-02-17,NA,2023-03-03
ANA,20222023,2023-01-04,2,TRUE,2,0,26,39,2023-02-17,NA,2023-03-03
ANA,20222023,2023-01-06,2,TRUE,5,4,28,40,2023-02-17,NA,2023-03-03
